event_id,homeTeam,awayTeam,homeGoals,awayGoals,h_player_0,h_position_0,h_score_0,h_player_1,h_position_1,h_score_1,h_player_2,h_position_2,h_score_2,h_player_3,h_position_3,h_score_3,h_player_4,h_position_4,h_score_4,h_player_5,h_position_5,h_score_5,h_player_6,h_position_6,h_score_6,h_player_7,h_position_7,h_score_7,h_player_8,h_position_8,h_score_8,h_player_9,h_position_9,h_score_9,h_player_10,h_position_10,h_score_10,a_player_11,a_position_11,a_score_11,a_player_12,a_position_12,a_score_12,a_player_13,a_position_13,a_score_13,a_player_14,a_position_14,a_score_14,a_player_15,a_position_15,a_score_15,a_player_16,a_position_16,a_score_16,a_player_17,a_position_17,a_score_17,a_player_18,a_position_18,a_score_18,a_player_19,a_position_19,a_score_19,a_player_20,a_position_20,a_score_20,a_player_21,a_position_21,a_score_21
8243638,Chelsea,Arsenal,2,2,Kepa Arrizabalaga,G,5.9,César Azpilicueta,D,7.1,Andreas Christensen,D,7.0,Antonio Rüdiger,D,7.3,Emerson Palmieri,D,7.1,NGolo Kanté,M,6.0,Jorginho,M,8.0,Mateo Kovačić,M,6.6,Callum Hudson-Odoi,F,7.8,Tammy Abraham,F,6.8,Willian,F,6.8,Bernd Leno,G,7.4,Héctor Bellerín,D,7.2,Shkodran Mustafi,D,7.7,David Luiz,D,3.7,Bukayo Saka,D,7.0,Lucas Torreira,M,6.8,Granit Xhaka,M,7.1,Nicolas Pépé,M,6.5,Mesut Özil,M,6.6,Gabriel Martinelli,M,6.6,Alexandre Lacazette,F,6.5
8243640,Leicester City,West Ham United,4,1,Kasper Schmeichel,G,6.6,Ricardo Pereira,D,8.6,Jonny Evans,D,6.5,Çağlar Söyüncü,D,7.1,Ben Chilwell,D,7.3,Nampalys Mendy,M,6.9,Ayoze Pérez,M,8.4,Youri Tielemans,M,6.7,James Maddison,M,7.2,Harvey Barnes,M,8.4,Jamie Vardy,F,7.1,Darren Randolph,G,6.4,Pablo Zabaleta,D,6.1,Issa Diop,D,6.5,Angelo Ogbonna,D,5.3,Aaron Cresswell,D,6.5,Arthur Masuaku,D,6.1,Robert Snodgrass,M,6.3,Declan Rice,M,6.4,Mark Noble,M,6.7,Manuel Lanzini,F,6.5,Sébastien Haller,F,7.2
8243628,Tottenham,Norwich City,2,1,Hugo Lloris,G,6.4,Serge Aurier,D,8.0,Toby Alderweireld,D,6.9,Jan Vertonghen,D,6.6,Ryan Sessegnon,D,6.0,Giovani Lo Celso,M,7.3,Harry Winks,M,7.0,Érik Lamela,M,6.7,Dele Alli,M,6.9,Heung-Min Son,M,6.3,Lucas Moura,F,6.8,Tim Krul,G,6.2,Max Aarons,D,7.5,Christoph Zimmermann,D,7.1,Grant Hanley,D,7.1,Sam Byram,D,6.5,Alexander Tettey,M,7.1,Kenny McLean,M,6.9,Lukas Rupp,M,6.1,Ondrej Duda,M,7.2,Todd Cantwell,M,6.7,Teemu Pukki,F,7.3
8243636,Manchester United,Burnley,0,2,David De Gea,G,6.1,Aaron Wan-Bissaka,D,6.6,Phil Jones,D,7.2,Harry Maguire,D,6.8,Brandon Williams,D,6.7,Fred,M,7.5,Nemanja Matić,M,7.2,Juan Mata,M,7.3,Andreas Pereira,M,6.9,Daniel James,M,6.6,Anthony Martial,F,7.4,Nick Pope,G,8.5,Matthew Lowton,D,6.5,James Tarkowski,D,7.6,Ben Mee,D,7.9,Charlie Taylor,D,6.7,Jeff Hendrick,M,7.0,Ashley Westwood,M,6.7,Jack Cork,M,6.4,Dwight McNeil,M,6.7,Chris Wood,F,7.5,Jay Rodriguez,F,7.3
8243630,Wolverhampton,Liverpool,1,2,Rui Patrício,G,7.1,Leander Dendoncker,D,7.0,Conor Coady,D,6.6,Romain Saïss,D,6.8,Matt Doherty,M,6.4,Rúben Neves,M,7.4,João Moutinho,M,6.3,Jonny Otto,M,6.0,Pedro Neto,F,7.0,Adama Traoré,F,8.2,Raúl Jiménez,F,7.8,Alisson,G,6.9,Trent Alexander-Arnold,D,6.9,Joe Gomez,D,7.0,Virgil van Dijk,D,6.8,Andrew Robertson,D,6.6,Alex Oxlade-Chamberlain,M,6.6,Jordan Henderson,M,8.1,Georginio Wijnaldum,M,6.2,Mohamed Salah,F,7.4,Roberto Firmino,F,7.1,Sadio Mané,F,6.6
8243648,Leicester City,Chelsea,2,2,Kasper Schmeichel,G,6.2,Ricardo Pereira,D,6.1,Jonny Evans,D,6.5,Çağlar Söyüncü,D,7.0,Ben Chilwell,D,6.9,Hamza Choudhury,M,7.2,Ayoze Pérez,M,6.6,Youri Tielemans,M,7.6,James Maddison,M,7.3,Harvey Barnes,M,6.8,Jamie Vardy,F,6.8,Willy Caballero,G,6.2,Reece James,D,7.1,Andreas Christensen,D,6.3,Antonio Rüdiger,D,8.6,César Azpilicueta,D,6.4,NGolo Kanté,M,6.9,Jorginho,M,6.7,Callum Hudson-Odoi,M,6.8,Mason Mount,M,7.5,Pedro,M,6.7,Tammy Abraham,F,6.2
8243655,Liverpool,Southampton,4,0,Alisson,G,8.0,Trent Alexander-Arnold,D,6.5,Joe Gomez,D,7.1,Virgil van Dijk,D,7.3,Andrew Robertson,D,7.5,Jordan Henderson,M,8.3,Fabinho,M,7.0,Georginio Wijnaldum,M,7.1,Mohamed Salah,F,8.9,Roberto Firmino,F,7.2,Alex Oxlade-Chamberlain,F,7.5,Alex McCarthy,G,6.4,James Ward-Prowse,D,7.2,Jack Stephens,D,6.0,Jan Bednarek,D,6.7,Ryan Bertrand,D,6.9,Moussa Djenepo,M,6.5,Oriol Romeu,M,6.2,Pierre-Emile Højbjerg,M,6.8,Nathan Redmond,M,6.1,Shane Long,F,6.8,Danny Ings,F,7.0
8243650,West Ham United,Brighton & Hove Albion,3,3,Łukasz Fabiański,G,6.1,Ryan Fredericks,D,6.5,Issa Diop,D,6.9,Angelo Ogbonna,D,6.3,Aaron Cresswell,D,6.4,Declan Rice,M,6.6,Robert Snodgrass,M,8.8,Tomáš Souček,M,7.0,Mark Noble,M,6.5,Michail Antonio,M,7.5,Sébastien Haller,F,6.8,Mathew Ryan,G,6.4,Martín Montoya,D,6.6,Adam Webster,D,6.2,Lewis Dunk,D,6.5,Bernardo,D,7.0,Davy Pröpper,M,7.7,Dale Stephens,M,7.0,Pascal Groß,M,8.0,Aaron Mooy,M,5.7,Leandro Trossard,M,5.9,Glenn Murray,F,6.9
8243647,Watford,Everton,2,3,Ben Foster,G,6.0,Adrian Mariappa,D,6.1,Christian Kabasele,D,6.4,Craig Cathcart,D,6.6,Adam Masina,D,7.5,Nathaniel Chalobah,M,6.6,Étienne Capoue,M,7.4,Roberto Pereyra,M,6.5,Abdoulaye Doucouré,M,6.2,Gerard Deulofeu,M,6.0,Troy Deeney,F,7.2,Jordan Pickford,G,6.1,Djibril Sidibé,D,7.6,Yerry Mina,D,8.6,Mason Holgate,D,7.0,Lucas Digne,D,6.8,Theo Walcott,M,6.3,Gylfi Sigurðsson,M,7.1,Fabian Delph,M,6.2,Alex Iwobi,M,6.4,Dominic Calvert-Lewin,F,6.4,Richarlison,F,7.2
8243644,Crystal Palace,Sheffield United,0,1,Vicente Guaita,G,6.7,Joel Ward,D,6.5,James Tomkins,D,6.6,Gary Cahill,D,7.4,Patrick van Aanholt,D,6.3,Jordan Ayew,M,6.7,James McCarthy,M,6.8,Luka Milivojević,M,7.0,James McArthur,M,6.6,Wilfried Zaha,M,6.7,Christian Benteke,F,7.2,Dean Henderson,G,7.7,Chris Basham,D,7.1,John Egan,D,7.4,Jack OConnell,D,6.9,George Baldock,M,6.7,Sander Berge,M,7.1,Oliver Norwood,M,7.8,John Fleck,M,7.1,Enda Stevens,M,6.4,Oliver McBurnie,F,6.6,Billy Sharp,F,6.6
