"","domacini","gosti","isHome","players","positions","scores"
"h_player_01","Liverpool","Norwich City","yes","Alisson","G",6.9
"h_player_02","West Ham United","Manchester City","yes","Łukasz Fabiański","G",5.8
"h_player_03","Bournemouth","Sheffield United","yes","Aaron Ramsdale","G",6.6
"h_player_04","Watford","Brighton & Hove Albion","yes","Ben Foster","G",5.5
"h_player_05","Burnley","Southampton","yes","Nick Pope","G",7.6
"h_player_06","Crystal Palace","Everton","yes","Vicente Guaita","G",7.3
"h_player_07","Tottenham","Aston Villa","yes","Hugo Lloris","G",6.6
"h_player_08","Newcastle United","Arsenal","yes","Martin Dúbravka","G",6.4
"h_player_09","Leicester City","Wolverhampton","yes","Kasper Schmeichel","G",7.4
"h_player_010","Manchester United","Chelsea","yes","David De Gea","G",8.6
"h_player_011","Arsenal","Burnley","yes","Bernd Leno","G",6.9
"h_player_012","Southampton","Liverpool","yes","Angus Gunn","G",6.9
"h_player_013","Norwich City","Newcastle United","yes","Tim Krul","G",6.5
"h_player_014","Everton","Watford","yes","Jordan Pickford","G",7.6
"h_player_015","Aston Villa","Bournemouth","yes","Tom Heaton","G",5.6
"h_player_016","Brighton & Hove Albion","West Ham United","yes","Mathew Ryan","G",6.7
"h_player_017","Manchester City","Tottenham","yes","Ederson","G",5.9
"h_player_018","Sheffield United","Crystal Palace","yes","Dean Henderson","G",7.8
"h_player_019","Chelsea","Leicester City","yes","Kepa Arrizabalaga","G",6.8
"h_player_020","Wolverhampton","Manchester United","yes","Rui Patrício","G",6.9
"h_player_021","Aston Villa","Everton","yes","Tom Heaton","G",7.2
"h_player_022","Norwich City","Chelsea","yes","Tim Krul","G",6.5
"h_player_023","Sheffield United","Leicester City","yes","Dean Henderson","G",5.8
"h_player_024","Watford","West Ham United","yes","Ben Foster","G",7.2
"h_player_025","Brighton & Hove Albion","Southampton","yes","Mathew Ryan","G",6.1
"h_player_026","Manchester United","Crystal Palace","yes","David De Gea","G",6
"h_player_027","Liverpool","Arsenal","yes","Adrián","G",6.3
"h_player_028","Bournemouth","Manchester City","yes","Aaron Ramsdale","G",5.9
"h_player_029","Wolverhampton","Burnley","yes","Rui Patrício","G",6.8
"h_player_030","Tottenham","Newcastle United","yes","Hugo Lloris","G",6.6
"h_player_031","Southampton","Manchester United","yes","Angus Gunn","G",7.9
"h_player_032","Manchester City","Brighton & Hove Albion","yes","Ederson","G",7.5
"h_player_033","West Ham United","Norwich City","yes","Łukasz Fabiański","G",7.3
"h_player_034","Newcastle United","Watford","yes","Martin Dúbravka","G",6.9
"h_player_035","Crystal Palace","Aston Villa","yes","Vicente Guaita","G",7.5
"h_player_036","Chelsea","Sheffield United","yes","Kepa Arrizabalaga","G",6.1
"h_player_037","Leicester City","Bournemouth","yes","Kasper Schmeichel","G",6.5
"h_player_038","Burnley","Liverpool","yes","Nick Pope","G",6.4
"h_player_039","Everton","Wolverhampton","yes","Jordan Pickford","G",6.5
"h_player_040","Arsenal","Tottenham","yes","Bernd Leno","G",7
"h_player_041","Liverpool","Newcastle United","yes","Adrián","G",6.3
"h_player_042","Sheffield United","Southampton","yes","Dean Henderson","G",7.7
"h_player_043","Tottenham","Crystal Palace","yes","Hugo Lloris","G",8.2
"h_player_044","Wolverhampton","Chelsea","yes","Rui Patrício","G",5.2
"h_player_045","Brighton & Hove Albion","Burnley","yes","Mathew Ryan","G",6.2
"h_player_046","Manchester United","Leicester City","yes","David De Gea","G",7.4
"h_player_047","Norwich City","Manchester City","yes","Tim Krul","G",7.4
"h_player_048","Bournemouth","Everton","yes","Aaron Ramsdale","G",7.3
"h_player_049","Watford","Arsenal","yes","Ben Foster","G",6.3
"h_player_050","Aston Villa","West Ham United","yes","Tom Heaton","G",7.1
"h_player_051","Southampton","Bournemouth","yes","Angus Gunn","G",5.6
"h_player_052","Leicester City","Tottenham","yes","Kasper Schmeichel","G",6.7
"h_player_053","Manchester City","Watford","yes","Ederson","G",7.9
"h_player_054","Everton","Sheffield United","yes","Jordan Pickford","G",6
"h_player_055","Burnley","Norwich City","yes","Nick Pope","G",7.4
"h_player_056","Newcastle United","Brighton & Hove Albion","yes","Martin Dúbravka","G",7.3
"h_player_057","West Ham United","Manchester United","yes","Łukasz Fabiański","G",7.5
"h_player_058","Crystal Palace","Wolverhampton","yes","Vicente Guaita","G",6.8
"h_player_059","Arsenal","Aston Villa","yes","Bernd Leno","G",7.4
"h_player_060","Chelsea","Liverpool","yes","Kepa Arrizabalaga","G",6.3
"h_player_061","Sheffield United","Liverpool","yes","Dean Henderson","G",6.1
"h_player_062","Wolverhampton","Watford","yes","Rui Patrício","G",8.2
"h_player_063","Tottenham","Southampton","yes","Hugo Lloris","G",6.8
"h_player_064","Bournemouth","West Ham United","yes","Aaron Ramsdale","G",7.1
"h_player_065","Aston Villa","Burnley","yes","Tom Heaton","G",6.1
"h_player_066","Chelsea","Brighton & Hove Albion","yes","Kepa Arrizabalaga","G",7.1
"h_player_067","Crystal Palace","Norwich City","yes","Vicente Guaita","G",7.6
"h_player_068","Leicester City","Newcastle United","yes","Kasper Schmeichel","G",6.8
"h_player_069","Manchester United","Arsenal","yes","David De Gea","G",7.1
"h_player_070","Brighton & Hove Albion","Tottenham","yes","Mathew Ryan","G",7.6
"h_player_071","Norwich City","Aston Villa","yes","Michael McGovern","G",7
"h_player_072","Watford","Sheffield United","yes","Ben Foster","G",7.5
"h_player_073","Liverpool","Leicester City","yes","Adrián","G",6.5
"h_player_074","Burnley","Everton","yes","Nick Pope","G",7.4
"h_player_075","West Ham United","Crystal Palace","yes","Roberto Jiménez","G",6.2
"h_player_076","Southampton","Chelsea","yes","Angus Gunn","G",5.8
"h_player_077","Arsenal","Bournemouth","yes","Bernd Leno","G",7.2
"h_player_078","Manchester City","Wolverhampton","yes","Ederson","G",5.9
"h_player_079","Newcastle United","Manchester United","yes","Martin Dúbravka","G",7.4
"h_player_080","Everton","West Ham United","yes","Jordan Pickford","G",7.6
"h_player_081","Wolverhampton","Southampton","yes","Rui Patrício","G",7.2
"h_player_082","Chelsea","Newcastle United","yes","Kepa Arrizabalaga","G",6.9
"h_player_083","Leicester City","Burnley","yes","Kasper Schmeichel","G",6.9
"h_player_084","Aston Villa","Brighton & Hove Albion","yes","Tom Heaton","G",7.2
"h_player_085","Bournemouth","Norwich City","yes","Aaron Ramsdale","G",7.2
"h_player_086","Crystal Palace","Manchester City","yes","Wayne Hennessey","G",8
"h_player_087","Manchester United","Liverpool","yes","David De Gea","G",6.7
"h_player_088","Sheffield United","Arsenal","yes","Dean Henderson","G",7.4
"h_player_089","Southampton","Leicester City","yes","Angus Gunn","G",5.1
"h_player_090","Manchester City","Aston Villa","yes","Ederson","G",8.3
"h_player_091","Watford","Bournemouth","yes","Ben Foster","G",8.2
"h_player_092","West Ham United","Sheffield United","yes","Roberto Jiménez","G",6.6
"h_player_093","Brighton & Hove Albion","Everton","yes","Mathew Ryan","G",7.2
"h_player_094","Burnley","Chelsea","yes","Nick Pope","G",5.9
"h_player_095","Newcastle United","Wolverhampton","yes","Martin Dúbravka","G",6.4
"h_player_096","Norwich City","Manchester United","yes","Tim Krul","G",9.2
"h_player_097","Liverpool","Tottenham","yes","Alisson","G",6.6
"h_player_098","Arsenal","Crystal Palace","yes","Bernd Leno","G",6.5
"h_player_099","Bournemouth","Manchester United","yes","Aaron Ramsdale","G",7.7
"h_player_0100","West Ham United","Newcastle United","yes","Roberto Jiménez","G",6.6
"h_player_0101","Manchester City","Southampton","yes","Ederson","G",5.9
"h_player_0102","Sheffield United","Burnley","yes","Dean Henderson","G",7.2
"h_player_0103","Brighton & Hove Albion","Norwich City","yes","Mathew Ryan","G",6.9
"h_player_0104","Aston Villa","Liverpool","yes","Tom Heaton","G",6.5
"h_player_0105","Arsenal","Wolverhampton","yes","Bernd Leno","G",7.9
"h_player_0106","Watford","Chelsea","yes","Ben Foster","G",8
"h_player_0107","Crystal Palace","Leicester City","yes","Vicente Guaita","G",6.5
"h_player_0108","Everton","Tottenham","yes","Jordan Pickford","G",6.4
"h_player_0109","Norwich City","Watford","yes","Tim Krul","G",6
"h_player_0110","Chelsea","Crystal Palace","yes","Kepa Arrizabalaga","G",7.2
"h_player_0111","Tottenham","Sheffield United","yes","Paulo Gazzaniga","G",6.6
"h_player_0112","Southampton","Everton","yes","Alex McCarthy","G",6.5
"h_player_0113","Newcastle United","Bournemouth","yes","Martin Dúbravka","G",6.8
"h_player_0114","Burnley","West Ham United","yes","Nick Pope","G",7.5
"h_player_0115","Leicester City","Arsenal","yes","Kasper Schmeichel","G",7.4
"h_player_0116","Wolverhampton","Aston Villa","yes","Rui Patrício","G",6.6
"h_player_0117","Manchester United","Brighton & Hove Albion","yes","David De Gea","G",6.5
"h_player_0118","Liverpool","Manchester City","yes","Alisson","G",7.1
"h_player_0119","West Ham United","Tottenham","yes","Roberto Jiménez","G",6.1
"h_player_0120","Watford","Burnley","yes","Ben Foster","G",6.1
"h_player_0121","Brighton & Hove Albion","Leicester City","yes","Mathew Ryan","G",7.6
"h_player_0122","Bournemouth","Wolverhampton","yes","Aaron Ramsdale","G",6.8
"h_player_0123","Arsenal","Southampton","yes","Bernd Leno","G",7.2
"h_player_0124","Crystal Palace","Liverpool","yes","Vicente Guaita","G",6.5
"h_player_0125","Everton","Norwich City","yes","Jordan Pickford","G",6.6
"h_player_0126","Manchester City","Chelsea","yes","Ederson","G",6.5
"h_player_0127","Sheffield United","Manchester United","yes","Simon Moore","G",5.3
"h_player_0128","Aston Villa","Newcastle United","yes","Tom Heaton","G",8.2
"h_player_0129","Newcastle United","Manchester City","yes","Martin Dúbravka","G",7.5
"h_player_0130","Tottenham","Bournemouth","yes","Paulo Gazzaniga","G",7.1
"h_player_0131","Liverpool","Brighton & Hove Albion","yes","Alisson","G",6.8
"h_player_0132","Burnley","Crystal Palace","yes","Nick Pope","G",6.2
"h_player_0133","Chelsea","West Ham United","yes","Kepa Arrizabalaga","G",6.9
"h_player_0134","Southampton","Watford","yes","Alex McCarthy","G",6.7
"h_player_0135","Wolverhampton","Sheffield United","yes","Rui Patrício","G",7
"h_player_0136","Norwich City","Arsenal","yes","Tim Krul","G",6.6
"h_player_0137","Manchester United","Aston Villa","yes","David De Gea","G",6.1
"h_player_0138","Leicester City","Everton","yes","Kasper Schmeichel","G",6.7
"h_player_0139","Crystal Palace","Bournemouth","yes","Vicente Guaita","G",7.4
"h_player_0140","Burnley","Manchester City","yes","Nick Pope","G",6.3
"h_player_0141","Chelsea","Aston Villa","yes","Kepa Arrizabalaga","G",6.6
"h_player_0142","Southampton","Norwich City","yes","Alex McCarthy","G",6.6
"h_player_0143","Wolverhampton","West Ham United","yes","Rui Patrício","G",7.8
"h_player_0144","Manchester United","Tottenham","yes","David De Gea","G",7
"h_player_0145","Leicester City","Watford","yes","Kasper Schmeichel","G",7.1
"h_player_0146","Liverpool","Everton","yes","Adrián","G",6.4
"h_player_0147","Sheffield United","Newcastle United","yes","Dean Henderson","G",6.3
"h_player_0148","Arsenal","Brighton & Hove Albion","yes","Bernd Leno","G",7.6
"h_player_0149","Everton","Chelsea","yes","Jordan Pickford","G",6.6
"h_player_0150","Watford","Crystal Palace","yes","Ben Foster","G",6.8
"h_player_0151","Tottenham","Burnley","yes","Paulo Gazzaniga","G",7.3
"h_player_0152","Bournemouth","Liverpool","yes","Aaron Ramsdale","G",7.2
"h_player_0153","Manchester City","Manchester United","yes","Ederson","G",7.5
"h_player_0154","Norwich City","Sheffield United","yes","Tim Krul","G",6.2
"h_player_0155","Newcastle United","Southampton","yes","Martin Dúbravka","G",6.7
"h_player_0156","Aston Villa","Leicester City","yes","Tom Heaton","G",6.1
"h_player_0157","Brighton & Hove Albion","Wolverhampton","yes","Mathew Ryan","G",6.6
"h_player_0158","West Ham United","Arsenal","yes","David Martin","G",5.6
"h_player_0159","Liverpool","Watford","yes","Alisson","G",7.4
"h_player_0160","Sheffield United","Aston Villa","yes","Dean Henderson","G",6.8
"h_player_0161","Burnley","Newcastle United","yes","Nick Pope","G",6.9
"h_player_0162","Leicester City","Norwich City","yes","Kasper Schmeichel","G",6.5
"h_player_0163","Chelsea","Bournemouth","yes","Kepa Arrizabalaga","G",6.7
"h_player_0164","Southampton","West Ham United","yes","Alex McCarthy","G",7.1
"h_player_0165","Manchester United","Everton","yes","David De Gea","G",6.3
"h_player_0166","Wolverhampton","Tottenham","yes","Rui Patrício","G",6.6
"h_player_0167","Arsenal","Manchester City","yes","Bernd Leno","G",6.5
"h_player_0168","Crystal Palace","Brighton & Hove Albion","yes","Vicente Guaita","G",8.3
"h_player_0169","Everton","Arsenal","yes","Jordan Pickford","G",7.5
"h_player_0170","Aston Villa","Southampton","yes","Tom Heaton","G",6.6
"h_player_0171","Bournemouth","Burnley","yes","Aaron Ramsdale","G",6.6
"h_player_0172","Norwich City","Wolverhampton","yes","Tim Krul","G",6.3
"h_player_0173","Brighton & Hove Albion","Sheffield United","yes","Mathew Ryan","G",6.4
"h_player_0174","Newcastle United","Crystal Palace","yes","Martin Dúbravka","G",8
"h_player_0175","Manchester City","Leicester City","yes","Ederson","G",6.6
"h_player_0176","Watford","Manchester United","yes","Ben Foster","G",8.5
"h_player_0177","Tottenham","Chelsea","yes","Paulo Gazzaniga","G",5.5
"h_player_0178","West Ham United","Liverpool","yes","Łukasz Fabiański","G",7
"h_player_0179","Tottenham","Brighton & Hove Albion","yes","Paulo Gazzaniga","G",7.1
"h_player_0180","Sheffield United","Watford","yes","Dean Henderson","G",6.5
"h_player_0181","Aston Villa","Norwich City","yes","Tom Heaton","G",7.9
"h_player_0182","Crystal Palace","West Ham United","yes","Vicente Guaita","G",6.4
"h_player_0183","Everton","Burnley","yes","Jordan Pickford","G",6.8
"h_player_0184","Chelsea","Southampton","yes","Kepa Arrizabalaga","G",6.2
"h_player_0185","Bournemouth","Arsenal","yes","Aaron Ramsdale","G",6.5
"h_player_0186","Manchester United","Newcastle United","yes","David De Gea","G",6.4
"h_player_0187","Leicester City","Liverpool","yes","Kasper Schmeichel","G",5.7
"h_player_0188","Wolverhampton","Manchester City","yes","Rui Patrício","G",6.6
"h_player_0189","Brighton & Hove Albion","Bournemouth","yes","Mathew Ryan","G",7.4
"h_player_0190","Southampton","Crystal Palace","yes","Alex McCarthy","G",6.4
"h_player_0191","Watford","Aston Villa","yes","Ben Foster","G",7.3
"h_player_0192","Newcastle United","Everton","yes","Martin Dúbravka","G",7.7
"h_player_0193","West Ham United","Leicester City","yes","Łukasz Fabiański","G",7
"h_player_0194","Norwich City","Tottenham","yes","Tim Krul","G",6.7
"h_player_0195","Burnley","Manchester United","yes","Nick Pope","G",6.3
"h_player_0196","Arsenal","Chelsea","yes","Bernd Leno","G",5.8
"h_player_0197","Liverpool","Wolverhampton","yes","Alisson","G",7.4
"h_player_0198","Manchester City","Sheffield United","yes","Claudio Bravo","G",7
"h_player_0199","Burnley","Aston Villa","yes","Nick Pope","G",6.9
"h_player_0200","Brighton & Hove Albion","Chelsea","yes","Mathew Ryan","G",6.9
"h_player_0201","Watford","Wolverhampton","yes","Ben Foster","G",6.7
"h_player_0202","Southampton","Tottenham","yes","Alex McCarthy","G",8.1
"h_player_0203","Newcastle United","Leicester City","yes","Martin Dúbravka","G",7.1
"h_player_0204","Norwich City","Crystal Palace","yes","Tim Krul","G",6.6
"h_player_0205","West Ham United","Bournemouth","yes","Łukasz Fabiański","G",7.4
"h_player_0206","Manchester City","Everton","yes","Claudio Bravo","G",6.4
"h_player_0207","Arsenal","Manchester United","yes","Bernd Leno","G",7.9
"h_player_0208","Liverpool","Sheffield United","yes","Alisson","G",7.3
"h_player_0209","Sheffield United","West Ham United","yes","Dean Henderson","G",7.4
"h_player_0210","Crystal Palace","Arsenal","yes","Vicente Guaita","G",6.7
"h_player_0211","Wolverhampton","Newcastle United","yes","Rui Patrício","G",6.3
"h_player_0212","Manchester United","Norwich City","yes","David De Gea","G",7.3
"h_player_0213","Chelsea","Burnley","yes","Kepa Arrizabalaga","G",7.3
"h_player_0214","Leicester City","Southampton","yes","Kasper Schmeichel","G",7.5
"h_player_0215","Everton","Brighton & Hove Albion","yes","Jordan Pickford","G",7.4
"h_player_0216","Tottenham","Liverpool","yes","Paulo Gazzaniga","G",7.4
"h_player_0217","Bournemouth","Watford","yes","Mark Travers","G",5.4
"h_player_0218","Aston Villa","Manchester City","yes","Ørjan Nyland","G",5.7
"h_player_0219","Watford","Tottenham","yes","Ben Foster","G",7.8
"h_player_0220","West Ham United","Everton","yes","Darren Randolph","G",6.6
"h_player_0221","Norwich City","Bournemouth","yes","Tim Krul","G",7.6
"h_player_0222","Southampton","Wolverhampton","yes","Alex McCarthy","G",5.8
"h_player_0223","Brighton & Hove Albion","Aston Villa","yes","Mathew Ryan","G",6.6
"h_player_0224","Manchester City","Crystal Palace","yes","Ederson","G",6.4
"h_player_0225","Arsenal","Sheffield United","yes","Bernd Leno","G",6.5
"h_player_0226","Newcastle United","Chelsea","yes","Martin Dúbravka","G",7.3
"h_player_0227","Burnley","Leicester City","yes","Nick Pope","G",8.5
"h_player_0228","Liverpool","Manchester United","yes","Alisson","G",8.1
"h_player_0229","Crystal Palace","Southampton","yes","Vicente Guaita","G",6.6
"h_player_0230","Aston Villa","Watford","yes","Pepe Reina","G",6.7
"h_player_0231","Sheffield United","Manchester City","yes","Dean Henderson","G",7.9
"h_player_0232","Everton","Newcastle United","yes","Jordan Pickford","G",6.1
"h_player_0233","Bournemouth","Brighton & Hove Albion","yes","Aaron Ramsdale","G",7.8
"h_player_0234","Chelsea","Arsenal","yes","Kepa Arrizabalaga","G",5.9
"h_player_0235","Leicester City","West Ham United","yes","Kasper Schmeichel","G",6.6
"h_player_0236","Tottenham","Norwich City","yes","Hugo Lloris","G",6.4
"h_player_0237","Manchester United","Burnley","yes","David De Gea","G",6.1
"h_player_0238","Wolverhampton","Liverpool","yes","Rui Patrício","G",7.1
"h_player_0239","Leicester City","Chelsea","yes","Kasper Schmeichel","G",6.2
"h_player_0240","Liverpool","Southampton","yes","Alisson","G",8
"h_player_0241","West Ham United","Brighton & Hove Albion","yes","Łukasz Fabiański","G",6.1
"h_player_0242","Watford","Everton","yes","Ben Foster","G",6
"h_player_0243","Crystal Palace","Sheffield United","yes","Vicente Guaita","G",6.7
"h_player_0244","Newcastle United","Norwich City","yes","Martin Dúbravka","G",7.6
"h_player_0245","Bournemouth","Aston Villa","yes","Aaron Ramsdale","G",6.9
"h_player_0246","Manchester United","Wolverhampton","yes","David De Gea","G",7.4
"h_player_0247","Burnley","Arsenal","yes","Nick Pope","G",7.3
"h_player_0248","Tottenham","Manchester City","yes","Hugo Lloris","G",8.5
"h_player_0249","Everton","Crystal Palace","yes","Jordan Pickford","G",5.9
"h_player_0250","Brighton & Hove Albion","Watford","yes","Mathew Ryan","G",6.6
"h_player_0251","Sheffield United","Bournemouth","yes","Dean Henderson","G",6.8
"h_player_0252","Wolverhampton","Leicester City","yes","Rui Patrício","G",7.5
"h_player_0253","Southampton","Burnley","yes","Alex McCarthy","G",6.2
"h_player_0254","Norwich City","Liverpool","yes","Tim Krul","G",7.3
"h_player_0255","Aston Villa","Tottenham","yes","Pepe Reina","G",8
"h_player_0256","Arsenal","Newcastle United","yes","Bernd Leno","G",7.5
"h_player_0257","Chelsea","Manchester United","yes","Willy Caballero","G",6.2
"h_player_0258","Manchester City","West Ham United","yes","Ederson","G",6.8
"h_player_0259","Chelsea","Tottenham","yes","Willy Caballero","G",7
"h_player_0260","Sheffield United","Brighton & Hove Albion","yes","Dean Henderson","G",6.4
"h_player_0261","Crystal Palace","Newcastle United","yes","Vicente Guaita","G",7.3
"h_player_0262","Southampton","Aston Villa","yes","Alex McCarthy","G",7.5
"h_player_0263","Burnley","Bournemouth","yes","Nick Pope","G",7.8
"h_player_0264","Leicester City","Manchester City","yes","Kasper Schmeichel","G",8.2
"h_player_0265","Manchester United","Watford","yes","David De Gea","G",7.4
"h_player_0266","Wolverhampton","Norwich City","yes","Rui Patrício","G",7.8
"h_player_0267","Arsenal","Everton","yes","Bernd Leno","G",6.5
"h_player_0268","Liverpool","West Ham United","yes","Alisson","G",6.3
"h_player_0269","Norwich City","Leicester City","yes","Tim Krul","G",7.6
"h_player_0270","Brighton & Hove Albion","Crystal Palace","yes","Mathew Ryan","G",6.6
"h_player_0271","Newcastle United","Burnley","yes","Martin Dúbravka","G",7.2
"h_player_0272","Bournemouth","Chelsea","yes","Aaron Ramsdale","G",7.1
"h_player_0273","West Ham United","Southampton","yes","Łukasz Fabiański","G",6.3
"h_player_0274","Watford","Liverpool","yes","Ben Foster","G",7.1
"h_player_0275","Tottenham","Wolverhampton","yes","Paulo Gazzaniga","G",5.8
"h_player_0276","Everton","Manchester United","yes","Jordan Pickford","G",6.6
"h_player_0277","Aston Villa","Sheffield United","yes","Ørjan Nyland","G",7.1
"h_player_0278","Manchester City","Arsenal","yes","Ederson","G",7
"h_player_0279","Liverpool","Bournemouth","yes","Adrián","G",6.7
"h_player_0280","Arsenal","West Ham United","yes","Bernd Leno","G",8.6
"h_player_0281","Crystal Palace","Watford","yes","Vicente Guaita","G",8.3
"h_player_0282","Sheffield United","Norwich City","yes","Dean Henderson","G",7.8
"h_player_0283","Southampton","Newcastle United","yes","Alex McCarthy","G",8.5
"h_player_0284","Wolverhampton","Brighton & Hove Albion","yes","Rui Patrício","G",7
"h_player_0285","Burnley","Tottenham","yes","Nick Pope","G",6.3
"h_player_0286","Chelsea","Everton","yes","Kepa Arrizabalaga","G",7.2
"h_player_0287","Manchester United","Manchester City","yes","David De Gea","G",7.9
"h_player_0288","Leicester City","Aston Villa","yes","Kasper Schmeichel","G",7.1
"h_player_0289","Norwich City","Southampton","yes","Tim Krul","G",7.1
"h_player_0290","Tottenham","Manchester United","yes","Hugo Lloris","G",7.6
"h_player_0291","Watford","Leicester City","yes","Ben Foster","G",6.5
"h_player_0292","Brighton & Hove Albion","Arsenal","yes","Mathew Ryan","G",7.3
"h_player_0293","West Ham United","Wolverhampton","yes","Łukasz Fabiański","G",6.8
"h_player_0294","Bournemouth","Crystal Palace","yes","Aaron Ramsdale","G",5.9
"h_player_0295","Newcastle United","Sheffield United","yes","Martin Dúbravka","G",7.2
"h_player_0296","Aston Villa","Chelsea","yes","Ørjan Nyland","G",6.4
"h_player_0297","Everton","Liverpool","yes","Jordan Pickford","G",7.6
"h_player_0298","Manchester City","Burnley","yes","Ederson","G",6.9
"h_player_0299","Leicester City","Brighton & Hove Albion","yes","Kasper Schmeichel","G",7.8
"h_player_0300","Tottenham","West Ham United","yes","Hugo Lloris","G",7.2
"h_player_0301","Wolverhampton","Bournemouth","yes","Rui Patrício","G",7
"h_player_0302","Norwich City","Everton","yes","Tim Krul","G",7
"h_player_0303","Manchester United","Sheffield United","yes","David De Gea","G",7.1
"h_player_0304","Newcastle United","Aston Villa","yes","Martin Dúbravka","G",5.8
"h_player_0305","Liverpool","Crystal Palace","yes","Alisson","G",6.8
"h_player_0306","Southampton","Arsenal","yes","Alex McCarthy","G",5.8
"h_player_0307","Burnley","Watford","yes","Nick Pope","G",7.5
"h_player_0308","Chelsea","Manchester City","yes","Kepa Arrizabalaga","G",6.6
"h_player_0309","Aston Villa","Wolverhampton","yes","Ørjan Nyland","G",6.2
"h_player_0310","Watford","Southampton","yes","Ben Foster","G",5.8
"h_player_0311","Crystal Palace","Burnley","yes","Vicente Guaita","G",6.7
"h_player_0312","Brighton & Hove Albion","Manchester United","yes","Mathew Ryan","G",6.1
"h_player_0313","Bournemouth","Newcastle United","yes","Aaron Ramsdale","G",6.2
"h_player_0314","Arsenal","Norwich City","yes","Emiliano Martínez","G",7.4
"h_player_0315","Everton","Leicester City","yes","Jordan Pickford","G",6.6
"h_player_0316","West Ham United","Chelsea","yes","Łukasz Fabiański","G",6.8
"h_player_0317","Sheffield United","Tottenham","yes","Dean Henderson","G",6.6
"h_player_0318","Manchester City","Liverpool","yes","Ederson","G",8
"h_player_0319","Norwich City","Brighton & Hove Albion","yes","Tim Krul","G",6.4
"h_player_0320","Manchester United","Bournemouth","yes","David De Gea","G",6.1
"h_player_0321","Leicester City","Crystal Palace","yes","Kasper Schmeichel","G",7.5
"h_player_0322","Wolverhampton","Arsenal","yes","Rui Patrício","G",6.3
"h_player_0323","Chelsea","Watford","yes","Kepa Arrizabalaga","G",7.4
"h_player_0324","Burnley","Sheffield United","yes","Nick Pope","G",6.7
"h_player_0325","Newcastle United","West Ham United","yes","Martin Dúbravka","G",7.3
"h_player_0326","Liverpool","Aston Villa","yes","Alisson","G",8
"h_player_0327","Southampton","Manchester City","yes","Alex McCarthy","G",8.6
"h_player_0328","Tottenham","Everton","yes","Hugo Lloris","G",7.4
"h_player_0329","Watford","Norwich City","yes","Ben Foster","G",6.8
"h_player_0330","Crystal Palace","Chelsea","yes","Vicente Guaita","G",6.3
"h_player_0331","Arsenal","Leicester City","yes","Emiliano Martínez","G",7
"h_player_0332","West Ham United","Burnley","yes","Łukasz Fabiański","G",7.1
"h_player_0333","Manchester City","Newcastle United","yes","Ederson","G",7.2
"h_player_0334","Sheffield United","Wolverhampton","yes","Dean Henderson","G",7.1
"h_player_0335","Brighton & Hove Albion","Liverpool","yes","Mathew Ryan","G",6.8
"h_player_0336","Everton","Southampton","yes","Jordan Pickford","G",6.8
"h_player_0337","Bournemouth","Tottenham","yes","Aaron Ramsdale","G",6.9
"h_player_0338","Aston Villa","Manchester United","yes","Pepe Reina","G",6.2
"h_player_0339","Norwich City","West Ham United","yes","Tim Krul","G",6.2
"h_player_0340","Watford","Newcastle United","yes","Ben Foster","G",6.8
"h_player_0341","Liverpool","Burnley","yes","Alisson","G",6.9
"h_player_0342","Sheffield United","Chelsea","yes","Dean Henderson","G",7.6
"h_player_0343","Brighton & Hove Albion","Manchester City","yes","Mathew Ryan","G",5.3
"h_player_0344","Wolverhampton","Everton","yes","Rui Patrício","G",7.4
"h_player_0345","Aston Villa","Crystal Palace","yes","Pepe Reina","G",8
"h_player_0346","Tottenham","Arsenal","yes","Hugo Lloris","G",6.8
"h_player_0347","Bournemouth","Leicester City","yes","Aaron Ramsdale","G",7.1
"h_player_0348","Manchester United","Southampton","yes","David De Gea","G",6.6
"h_player_0349","Chelsea","Norwich City","yes","Kepa Arrizabalaga","G",6.9
"h_player_0350","Burnley","Wolverhampton","yes","Nick Pope","G",7
"h_player_0351","Newcastle United","Tottenham","yes","Martin Dúbravka","G",6.1
"h_player_0352","Manchester City","Bournemouth","yes","Ederson","G",6.5
"h_player_0353","Arsenal","Liverpool","yes","Emiliano Martínez","G",8
"h_player_0354","Leicester City","Sheffield United","yes","Kasper Schmeichel","G",7.3
"h_player_0355","Everton","Aston Villa","yes","Jordan Pickford","G",6.4
"h_player_0356","Crystal Palace","Manchester United","yes","Vicente Guaita","G",6.5
"h_player_0357","Southampton","Brighton & Hove Albion","yes","Alex McCarthy","G",6.5
"h_player_0358","West Ham United","Watford","yes","Łukasz Fabiański","G",6.6
"h_player_0359","Norwich City","Burnley","yes","Tim Krul","G",7.8
"h_player_0360","Bournemouth","Southampton","yes","Aaron Ramsdale","G",8
"h_player_0361","Tottenham","Leicester City","yes","Hugo Lloris","G",8.5
"h_player_0362","Sheffield United","Everton","yes","Dean Henderson","G",6.5
"h_player_0363","Brighton & Hove Albion","Newcastle United","yes","Mathew Ryan","G",7.3
"h_player_0364","Wolverhampton","Crystal Palace","yes","Rui Patrício","G",7.3
"h_player_0365","Watford","Manchester City","yes","Ben Foster","G",7.4
"h_player_0366","Aston Villa","Arsenal","yes","Pepe Reina","G",6.9
"h_player_0367","Manchester United","West Ham United","yes","David De Gea","G",6.6
"h_player_0368","Liverpool","Chelsea","yes","Alisson","G",6.1
